Station_Code,Station_Name,Line_Color,Line_Name,lat,lng,adjacent_stations
NS1 EW24,Jurong East,Red,North South,1.333207,103.742308,Chinese Garden#Bukit Batok#Clementi
NS2,Bukit Batok,Red,North South,1.349069,103.749596,Bukit Gombak#Jurong East
NS3,Bukit Gombak,Red,North South,1.359043,103.751863,Choa Chu Kang#Bukit Batok
NS4,Choa Chu Kang,Red,North South,1.385417,103.744316,Bukit Gombak#Yew Tee
NS5,Yew Tee,Red,North South,1.397383,103.747523,Choa Chu Kang#Kranji
NS7,Kranji,Red,North South,1.425302,103.762049,Marsiling#Yew Tee
NS8,Marsiling,Red,North South,1.432579,103.77415,Woodlands#Kranji
NS9 TE2,Woodlands,Red,North South,1.436984,103.786406,Admiralty#Woodlands South#Woodlands North#Marsiling
NS10,Admiralty,Red,North South,1.436984,103.786406,Woodlands#Sembawang
NS11,Sembawang,Red,North South,1.449133,103.82006,Admiralty#Canberra
NS12,Canberra,Red,North South,1.4433,103.8296,Sembawang#Yishun
NS13,Yishun,Red,North South,1.429666,103.835044,Canberra#Khatib
NS14,Khatib,Red,North South,1.417423,103.832995,Yio Chu Kang#Yishun
NS15,Yio Chu Kang,Red,North South,1.381765,103.844923,Ang Mo Kio#Khatib
NS16,Ang Mo Kio,Red,North South,1.370025,103.849588,Bishan#Yio Chu Kang
NS17 CC15,Bishan,Red,North South,1.35092,103.848206,Marymount#Ang Mo Kio#Lorong Chuan#Braddell
NS18,Braddell,Red,North South,1.34055,103.847098,Toa Payoh#Bishan
NS19,Toa Payoh,Red,North South,1.332405,103.847436,Novena#Braddell
NS20,Novena,Red,North South,1.320089,103.843405,Toa Payoh#Newton
NS21 DT11,Newton,Red,North South,1.31383,103.838021,Stevens#Little India#Novena#Orchard
NS22 TE14,Orchard,Red,North South,1.304041,103.831792,Somerset#Newton
NS23,Somerset,Red,North South,1.300508,103.838428,Orchard#Dhoby Ghaut
NS24 NE6 CC1,Dhoby Ghaut,Red,North South,1.299169,103.845799,Somerset#Little India#Clarke Quay#City Hall#Bras Basah
NS25 EW13,City Hall,Red,North South,1.293119,103.852089,Bugis#Dhoby Ghaut#Raffles Place
NS26 EW14,Raffles Place,Red,North South,1.284001,103.85155,Tanjong Pagar#Marina Bay#City Hall
NS27 CE2 TE20,Marina Bay,Red,North South,1.276481,103.854598,Marina South Pier#Bayfront#Raffles Place
NS28,Marina South Pier,Red,North South,1.271422,103.863581,Marina Bay
EW1,Pasir Ris,Green,East West,1.373234,103.949343,Tampines
EW2 DT32,Tampines,Green,East West,1.354467,103.943325,Tampines West#Tampines East#Pasir Ris#Simei
EW3,Simei,Green,East West,1.343237,103.953343,Tampines#Tanah Merah
EW4 CG,Tanah Merah,Green,East West,1.327309,103.946479,Bedok#Simei#Expo
EW5,Bedok,Green,East West,1.324043,103.930205,Kembangan#Tanah Merah
EW6,Kembangan,Green,East West,1.320998,103.913433,Bedok#Eunos
EW7,Eunos,Green,East West,1.319809,103.902888,Paya Lebar#Kembangan
EW8 CC9,Paya Lebar,Green,East West,1.318214,103.893133,MacPherson#Aljunied#Dakota#Eunos
EW9,Aljunied,Green,East West,1.316474,103.882762,Paya Lebar#Kallang
EW10,Kallang,Green,East West,1.311532,103.871372,Aljunied#Lavender
EW11,Lavender,Green,East West,1.307577,103.863155,Kallang#Bugis
EW12 DT14,Bugis,Green,East West,1.300747,103.855873,Promenade#Lavender#Rochor#City Hall
EW13 NS25,City Hall,Green,East West,1.293119,103.852089,Raffles Place#Dhoby Ghaut#Bugis
EW14 NS26,Raffles Place,Green,East West,1.284001,103.85155,Tanjong Pagar#Marina Bay#City Hall
EW15,Tanjong Pagar,Green,East West,1.276385,103.846771,Outram Park#Raffles Place
EW16 NE3 TE17,Outram Park,Green,East West,1.280319,103.839459,Tanjong Pagar#Tiong Bahru#Chinatown#HarbourFront
EW17,Tiong Bahru,Green,East West,1.286555,103.826956,Outram Park#Redhill
EW18,Redhill,Green,East West,1.289674,103.816787,Tiong Bahru#Queenstown
EW19,Queenstown,Green,East West,1.294867,103.805902,Redhill#Commonwealth
EW20,Commonwealth,Green,East West,1.302439,103.798326,Queenstown#Buona Vista
EW21 CC22,Buona Vista,Green,East West,1.307337,103.790046,Commonwealth#Dover#Holland Village#one-north
EW22,Dover,Green,East West,1.311414,103.778596,Buona Vista#Clementi
EW23,Clementi,Green,East West,1.314925,103.765341,Dover#Jurong East
EW24 NS1,Jurong East,Green,East West,1.333207,103.742308,Chinese Garden#Bukit Batok#Clementi
EW25,Chinese Garden,Green,East West,1.342436,103.732582,Lakeside#Jurong East
EW26,Lakeside,Green,East West,1.344264,103.720797,Chinese Garden#Boon Lay
EW27,Boon Lay,Green,East West,1.33862,103.705817,Lakeside#Pioneer
EW28,Pioneer,Green,East West,1.337645,103.69742,Joo Koon#Boon Lay
EW29,Joo Koon,Green,East West,1.327826,103.678318,Pioneer#Gul Circle
EW30,Gul Circle,Green,East West,1.319809,103.66083,Tuas Crescent#Joo Koon
EW31,Tuas Crescent,Green,East West,1.321091,103.649075,Tuas West Road#Gul Circle
EW32,Tuas West Road,Green,East West,1.330075,103.639636,Tuas Crescent#Tuas Link
EW33,Tuas Link,Green,East West,1.340371,103.636866,Tuas West Road
CG1 DT35,Expo,Green,Changi Airport Branch,1.334479,103.961459,Upper Changi#Changi Airport
CG2,Changi Airport,Green,Changi Airport Branch,1.357622,103.988487,Expo
NE1 CC29,HarbourFront,Purple,North East,1.265453,103.820514,Telok Blangah#Outram Park
NE3 EW16,Outram Park,Purple,North East,1.280319,103.839459,Tanjong Pagar#Tiong Bahru#Chinatown#HarbourFront
NE4 DT19,Chinatown,Purple,North East,1.284566,103.843626,Outram Park#Telok Ayer#Clarke Quay#Fort Canning
NE5,Clarke Quay,Purple,North East,1.288949,103.847521,Dhoby Ghaut#Chinatown
NE6 NS24 CC1,Dhoby Ghaut,Purple,North East,1.299169,103.845799,Somerset#Little India#Clarke Quay#City Hall#Bras Basah
NE7 DT12,Little India,Purple,North East,1.306691,103.849396,Dhoby Ghaut#Farrer Park#Rochor#Newton
NE8,Farrer Park,Purple,North East,1.312679,103.854872,Little India#Boon Keng
NE9,Boon Keng,Purple,North East,1.320091,103.861655,Potong Pasir#Farrer Park
NE10,Potong Pasir,Purple,North East,1.331316,103.868779,Woodleigh#Boon Keng
NE11,Woodleigh,Purple,North East,1.339202,103.870727,Potong Pasir#Serangoon
NE12 CC13,Serangoon,Purple,North East,1.349862,103.873635,Woodleigh#Kovan#Lorong Chuan#Bartley
NE13,Kovan,Purple,North East,1.360207,103.885163,Hougang#Serangoon
NE14,Hougang,Purple,North East,1.371406,103.892533,Buangkok#Kovan
NE15,Buangkok,Purple,North East,1.382991,103.893347,Sengkang#Hougang
NE16,Sengkang,Purple,North East,1.391682,103.895475,Buangkok#Punggol
NE17,Punggol,Purple,North East,1.405191,103.902367,Sengkang
CC2,Bras Basah,Orange,Circle,1.296978,103.850715,Dhoby Ghaut#Esplanade
CC3,Esplanade,Orange,Circle,1.293995,103.855396,Promenade#Bras Basah
CC4 DT15,Promenade,Orange,Circle,1.294063,103.860156,Bayfront#Bugis#Nicoll Highway#Esplanade
CC5,Nicoll Highway,Orange,Circle,1.300292,103.863449,Stadium#Promenade
CC6,Stadium,Orange,Circle,1.302847,103.875417,Nicoll Highway#Mountbatten
CC7,Mountbatten,Orange,Circle,1.306106,103.883175,Stadium#Dakota
CC8,Dakota,Orange,Circle,1.308474,103.888825,Paya Lebar#Mountbatten
CC9 EW8,Paya Lebar,Orange,Circle,1.318214,103.893133,Aljunied#Dakota#MacPherson#Eunos
CC10 DT26,MacPherson,Orange,Circle,1.326769,103.889901,Paya Lebar#Ubi#Mattar#Tai Seng
CC11,Tai Seng,Orange,Circle,1.33594,103.887706,MacPherson#Bartley
CC12,Bartley,Orange,Circle,1.342923,103.87966,Tai Seng#Serangoon
CC13 NE12,Serangoon,Orange,Circle,1.349862,103.873635,Woodleigh#Kovan#Lorong Chuan#Bartley
CC14,Lorong Chuan,Orange,Circle,1.35153,103.864957,Bishan#Serangoon
CC15 NS17,Bishan,Orange,Circle,1.35092,103.848206,Marymount#Ang Mo Kio#Lorong Chuan#Braddell
CC16,Marymount,Orange,Circle,1.349089,103.839116,Bishan#Caldecott
CC17 TE9,Caldecott,Orange,Circle,1.337649,103.839627,Marymount#Botanic Gardens#Upper Thomson
CC19 DT9,Botanic Gardens,Orange,Circle,1.322387,103.814905,Stevens#Tan Kah Kee#Farrer Road#Caldecott
CC20,Farrer Road,Orange,Circle,1.317606,103.807711,Holland Village#Botanic Gardens
CC21,Holland Village,Orange,Circle,1.311189,103.796119,Buona Vista#Farrer Road
CC22 EW21,Buona Vista,Orange,Circle,1.307337,103.790046,Commonwealth#Holland Village#Dover#one-north
CC23,one-north,Orange,Circle,1.299854,103.787584,Buona Vista#Kent Ridge
CC24,Kent Ridge,Orange,Circle,1.293629,103.784441,one-north#Haw Par Villa
CC25,Haw Par Villa,Orange,Circle,1.283149,103.781991,Pasir Panjang#Kent Ridge
CC26,Pasir Panjang,Orange,Circle,1.276111,103.791893,Haw Par Villa#Labrador Park
CC27,Labrador Park,Orange,Circle,1.27218,103.802557,Telok Blangah#Pasir Panjang
CC28,Telok Blangah,Orange,Circle,1.270769,103.809878,HarbourFront#Labrador Park
CC29 NE1,HarbourFront,Orange,Circle,1.265453,103.820514,Telok Blangah#Outram Park
CE1 DT16,Bayfront,Orange,Circle Extension,1.281371,103.858998,Downtown#Marina Bay#Promenade
CE2 NS27,Marina Bay,Orange,Circle Extension,1.276481,103.854598,Bayfront#Marina South Pier#Raffles Place
DT1,Bukit Panjang,Blue,Downtown,1.37834,103.762452,Cashew
DT2,Cashew,Blue,Downtown,1.369997,103.764569,Bukit Panjang#Hillview
DT3,Hillview,Blue,Downtown,1.363185,103.767371,Cashew#Beauty World
DT5,Beauty World,Blue,Downtown,1.341607,103.775682,King Albert Park#Hillview
DT6,King Albert Park,Blue,Downtown,1.335721,103.783203,Sixth Avenue#Beauty World
DT7,Sixth Avenue,Blue,Downtown,1.331221,103.79718,King Albert Park#Tan Kah Kee
DT8,Tan Kah Kee,Blue,Downtown,1.325826,103.807959,Sixth Avenue#Botanic Gardens
DT9 CC19,Botanic Gardens,Blue,Downtown,1.322387,103.814905,Stevens#Tan Kah Kee#Farrer Road#Caldecott
DT10 TE11,Stevens,Blue,Downtown,1.320012,103.825964,Botanic Gardens#Newton
DT11 NS21,Newton,Blue,Downtown,1.31383,103.838021,Stevens#Little India#Novena#Orchard
DT12 NE7,Little India,Blue,Downtown,1.306691,103.849396,Dhoby Ghaut#Farrer Park#Rochor#Newton
DT13,Rochor,Blue,Downtown,1.303601,103.852581,Little India#Bugis
DT14 EW12,Bugis,Blue,Downtown,1.300747,103.855873,Promenade#Lavender#Rochor#City Hall
DT15 CC4,Promenade,Blue,Downtown,1.294063,103.860156,Bayfront#Bugis#Nicoll Highway#Esplanade
DT16 CE1,Bayfront,Blue,Downtown,1.281371,103.858998,Downtown#Marina Bay#Promenade
DT17,Downtown,Blue,Downtown,1.27949,103.852802,Bayfront#Telok Ayer
DT18,Telok Ayer,Blue,Downtown,1.282285,103.848584,Downtown#Chinatown
DT19 NE4,Chinatown,Blue,Downtown,1.284566,103.843626,Outram Park#Telok Ayer#Clarke Quay#Fort Canning
DT20,Fort Canning,Blue,Downtown,1.291631,103.844621,Bencoolen#Chinatown
DT21,Bencoolen,Blue,Downtown,1.298477,103.849984,Fort Canning#Jalan Besar
DT22,Jalan Besar,Blue,Downtown,1.305551,103.855443,Bendemeer#Bencoolen
DT23,Bendemeer,Blue,Downtown,1.313674,103.863098,Geylang Bahru#Jalan Besar
DT24,Geylang Bahru,Blue,Downtown,1.321479,103.871457,Mattar#Bendemeer
DT25,Mattar,Blue,Downtown,1.326878,103.883304,Geylang Bahru#MacPherson
DT26 CC10,MacPherson,Blue,Downtown,1.326769,103.889901,Paya Lebar#Ubi#Mattar#Tai Seng
DT27,Ubi,Blue,Downtown,1.330008,103.898911,MacPherson#Kaki Bukit
DT28,Kaki Bukit,Blue,Downtown,1.335076,103.909057,Bedok North#Ubi
DT29,Bedok North,Blue,Downtown,1.335268,103.918054,Bedok Reservoir#Kaki Bukit
DT30,Bedok Reservoir,Blue,Downtown,1.336595,103.93307,Tampines West#Bedok North
DT31,Tampines West,Blue,Downtown,1.345583,103.938244,Tampines#Bedok Reservoir
DT32 EW2,Tampines,Blue,Downtown,1.354467,103.943325,Simei#Tampines East#Pasir Ris#Tampines West
DT33,Tampines East,Blue,Downtown,1.35631,103.955471,Upper Changi#Tampines
DT34,Upper Changi,Blue,Downtown,1.342218,103.961505,Tampines East#Expo
DT35 CG1,Expo,Blue,Downtown,1.334479,103.961459,Upper Changi#Changi Airport
TE1,Woodlands North,Brown,Thomson-East Coast,1.4479,103.7854,Woodlands
TE2 NS9,Woodlands,Brown,Thomson-East Coast,1.436984,103.786406,Admiralty#Woodlands South#Woodlands North#Marsiling
TE3,Woodlands South,Brown,Thomson-East Coast,1.4274,103.7931,Woodlands#SpringLeaf
TE4,SpringLeaf,Brown,Thomson-East Coast,1.3974,103.8185,Woodlands South#Lentor
TE5,Lentor,Brown,Thomson-East Coast,1.3844,103.8368,SpringLeaf#Mayflower
TE6,Mayflower,Brown,Thomson-East Coast,1.3726,103.837,Lentor#Bright Hill
TE7,Bright Hill,Brown,Thomson-East Coast,1.3632,103.8332,Mayflower#Upper Thomson
TE8,Upper Thomson,Brown,Thomson-East Coast,1.3542,103.8332,Bright Hill#Caldecott
